var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,obj_0,obj_1,obj_2,obj_3,obj_4,obj_5
10,8,2,1,2,2,14,5,3.7409,7.2729,5.5581,5.538399999999999,5.708699999999999,3.0
11,8,14,11,2,11,0,5,4.3203,6.2345,6.3365,5.0424999999999995,6.7686,3.0
17,1,14,17,2,17,0,14,5.5786,4.29,5.4852,5.0843,6.5219,4.0
2,9,9,12,7,17,5,5,5.339,4.2427,6.091900000000001,7.1259,5.6641,3.0
0,0,0,11,5,11,0,5,6.032100000000001,5.2455,4.2105,5.047,5.3824,6.0
0,1,0,1,1,11,1,0,5.767800000000001,6.5538,4.7139,4.9011000000000005,4.5336,6.0
15,10,0,2,1,7,5,5,6.8355,5.8071,6.7362,4.018,3.9149999999999996,2.0
9,8,1,10,7,15,3,0,5.517899999999999,7.065600000000001,3.7973999999999997,5.1564000000000005,4.6913,1.0
0,12,0,10,2,15,5,5,5.7488,6.2322999999999995,4.4071,6.0516000000000005,5.2576,3.0
10,3,7,14,8,8,5,5,3.9074999999999998,4.5919,7.128100000000001,6.7361,3.9585000000000004,3.0
9,1,9,11,1,3,9,5,6.2924,6.032100000000001,5.7068,3.2504,5.2891,4.0
0,2,0,12,2,11,0,0,5.048500000000001,5.7374,4.875,6.824700000000001,6.0122,5.0
10,8,0,11,2,17,9,5,4.8692,5.9906,7.101500000000001,5.6901,6.3018,1.0
12,12,18,1,2,2,3,18,3.2792,7.149100000000001,4.714,5.5451999999999995,5.6276,4.0
17,2,9,12,2,15,0,5,5.3896999999999995,5.1046,4.6056,6.592600000000001,6.7266,2.0
10,5,9,12,18,12,5,5,4.6517,4.1326,6.4653,6.8928,5.4603,4.0
17,12,18,12,18,17,5,5,4.2989,4.5601,5.907500000000001,6.4433,6.5599,5.0
0,6,10,2,7,15,9,5,6.627000000000001,6.7656,4.7696,5.3533,3.4953,1.0
10,10,10,10,19,5,10,5,5.090700000000001,6.0293,5.4649,4.2657,3.4156999999999997,6.0
9,5,0,12,1,17,9,5,5.7843,5.267200000000001,6.955,4.9386,5.6944,3.0
17,2,9,5,2,17,9,5,4.540299999999999,5.3718,4.6115,6.1771,6.7173,5.0
0,9,9,15,7,15,0,0,6.3454999999999995,5.333699999999999,3.6037,7.129600000000001,4.1563,5.0
2,2,9,2,2,11,12,5,3.6674999999999995,6.130400000000001,4.3918,7.100500000000001,5.5879,4.0
10,2,18,0,2,11,5,18,3.2010000000000005,6.471799999999999,6.2204999999999995,6.6044,5.3353,3.0
10,1,0,12,2,17,9,8,5.7932,4.6897,6.856,5.822699999999999,5.3217,1.0
6,8,14,1,2,17,9,18,4.166,6.090199999999999,6.1937999999999995,5.675,6.833,1.0
9,12,18,1,2,2,3,18,3.7531,7.187200000000001,4.5115,5.6593,5.388599999999999,3.0
2,0,0,9,2,2,9,0,4.2806999999999995,6.2938,4.4347,5.4408,5.9838000000000005,6.0
2,2,0,12,2,12,12,0,4.0511,5.4430000000000005,4.9016,6.847300000000001,5.724500000000001,6.0
12,8,8,17,8,12,12,8,5.3666,5.026,5.553700000000001,4.350099999999999,3.5095000000000005,6.0
10,9,0,4,8,11,9,5,5.0003,6.006200000000001,6.967199999999999,6.874,3.9381999999999997,2.0
2,9,9,15,5,9,0,5,5.3547,3.4077,4.0381,7.146299999999999,4.9506000000000006,4.0
6,8,0,12,2,9,9,8,5.7036,4.786,5.8545,6.037699999999999,5.5013,3.0
8,8,11,1,1,11,5,5,4.8106,6.2683,6.3081,4.8351999999999995,5.4849,5.0
2,12,1,15,2,17,15,0,3.3381,4.5329,4.0948,7.0144,6.4656,3.0
0,1,9,1,1,0,9,0,6.0425,5.814100000000001,3.7671999999999994,4.8556,5.1358999999999995,6.0
7,8,18,7,7,8,7,18,4.6983,5.2247,5.7696000000000005,4.4255,5.069,6.0
0,9,9,15,2,15,5,5,6.0379000000000005,5.3775,4.6421,7.236800000000001,4.3787,4.0
10,2,9,16,2,11,10,5,3.9919000000000002,5.4773000000000005,4.3074,7.3341,5.501600000000001,3.0
17,8,0,15,2,11,10,5,5.550400000000001,6.0651,4.4533000000000005,6.676100000000001,5.5516000000000005,1.0
12,5,14,12,14,12,5,5,5.0832999999999995,5.1051,7.071000000000001,5.0939000000000005,4.9189,6.0
10,8,15,4,2,17,9,5,4.2043,5.9098999999999995,7.331300000000001,5.9719,5.7796,1.0
12,1,16,12,13,12,1,5,6.1553,4.841200000000001,6.841600000000001,4.2456000000000005,4.0521,4.0
15,1,0,2,7,15,9,5,6.9474,6.277200000000001,5.8492,5.3455,4.1176,2.0
0,9,10,12,1,17,5,5,6.4345,5.033,6.549900000000001,5.6376,4.3383,2.0
15,15,0,17,1,12,0,5,7.0713,5.1091,6.6857,4.3387,3.7304,3.0
7,7,0,17,7,0,0,5,6.19,4.6636,5.7951,4.6094,5.402300000000001,5.0
17,5,9,12,2,17,5,5,5.0504,4.2533,5.8957999999999995,6.819,6.685299999999999,4.0
12,8,18,14,2,10,9,5,4.082,6.690499999999999,7.510700000000001,4.6930000000000005,5.5049,1.0
0,0,6,12,7,15,0,5,7.1287,4.9177,4.0252,5.302700000000001,5.0722000000000005,3.0
17,10,0,11,4,17,0,5,5.7609,4.7828,5.7822000000000005,4.375100000000001,6.5526,3.0
8,12,1,12,2,2,0,5,4.238099999999999,5.0806000000000004,5.561299999999999,5.9474,7.1739,3.0
2,9,0,16,2,17,5,0,4.2692,4.375900000000001,5.8628,7.2622,5.5268999999999995,3.0
10,5,0,12,2,17,9,5,4.8179,4.9909,7.3143,6.610399999999999,6.138,2.0
2,2,1,1,2,17,9,1,2.9626,5.4959,4.9825,6.629499999999999,6.8922,5.0
0,8,0,17,8,17,0,8,6.2855,4.416499999999999,6.1399,5.7644,4.1864,6.0
2,9,16,4,2,11,5,5,4.6183,5.7271,6.2119,7.3401,4.6766000000000005,3.0
8,8,0,0,8,8,5,0,4.346400000000001,5.749,6.2629,5.5291,4.7386,6.0
0,2,16,2,2,2,0,16,4.5846,6.3534999999999995,5.1006,5.9171000000000005,4.9108,6.0
17,8,0,12,18,17,0,8,5.6824,3.8532,5.9693,5.947,6.100599999999999,4.0
0,1,0,15,7,15,0,8,7.1506,5.117299999999999,4.3475,6.0888,3.8764000000000003,4.0
2,2,0,4,2,17,0,5,4.1205,5.271999999999999,6.226999999999999,7.0051000000000005,6.541,4.0
0,0,0,15,5,15,0,5,6.7761000000000005,5.0058,3.4461,5.6877,4.5682,6.0
0,2,0,1,2,3,0,0,4.9375,6.1848,4.5527,5.9773000000000005,5.561300000000001,5.0
0,0,1,1,7,2,0,0,5.202299999999999,6.0286,3.4856,5.8714,5.422000000000001,5.0
7,10,10,2,1,10,1,5,6.4759,6.0943,6.8782000000000005,2.6212,3.4417,4.0
17,8,0,12,2,17,9,5,5.6103000000000005,5.3762,6.5318,6.0118,6.8095,2.0
12,12,1,1,2,2,5,5,3.5033000000000003,6.2234,5.2079,5.9973,6.5113,5.0
17,8,14,12,1,17,0,5,6.0054,4.9536,6.4502999999999995,4.7136000000000005,6.556500000000001,2.0
3,13,18,15,2,11,9,5,4.0446,6.076,5.8756,7.0035,5.1208,1.0
11,10,17,11,2,17,0,5,4.3683,4.865,6.8137,4.828600000000001,6.6055,3.0
12,8,9,9,12,2,9,9,4.0097,6.9026,4.349500000000001,3.9343000000000004,5.6737,5.0
10,2,10,2,2,11,18,18,4.5349,6.5382,5.7636,6.1079,4.5765,5.0
15,9,0,15,8,9,5,5,6.328,4.380800000000001,5.7617,6.8496,3.1024,4.0
0,0,0,12,1,0,0,18,7.2218,4.8809,4.3584000000000005,4.2692000000000005,4.959500000000001,5.0
2,9,1,1,2,17,9,1,3.6388,5.1217,5.5325,6.7504,6.0359,5.0
17,5,9,12,12,17,0,5,5.6298,4.0895,5.0432,6.196700000000001,6.4167,4.0
10,9,18,12,1,12,5,5,5.6456,5.276800000000001,7.463100000000001,5.7418000000000005,4.145600000000001,3.0
2,9,16,15,8,9,0,5,5.476500000000001,4.0238000000000005,5.2641,7.3448,3.7669,2.0
12,5,14,0,2,2,5,5,3.5540000000000003,6.1007,7.0262,5.2199,5.9348,4.0
3,2,18,4,2,11,12,5,3.2318999999999996,6.7174000000000005,5.296,7.2441,4.9270000000000005,2.0
17,2,14,1,7,2,14,9,3.8364999999999996,6.8949,4.3672,4.6668,6.124,3.0
15,0,0,12,1,12,0,5,7.3102,4.8327,5.766299999999999,4.4375,4.6071,4.0
0,8,16,1,7,15,3,1,5.7787999999999995,7.1312,3.4255999999999998,5.9806,3.7464999999999997,2.0
2,9,18,2,8,9,0,0,4.684699999999999,4.7575,5.7832,6.8264000000000005,3.7948,4.0
9,1,14,17,1,17,9,5,6.107,5.7921,6.993,3.4881,5.364400000000001,4.0
8,8,0,1,1,15,0,0,5.4918,6.449199999999999,5.0351,4.7358,5.691600000000001,5.0
12,8,14,14,2,3,5,5,4.7222,6.392099999999999,7.212300000000001,4.3648,5.492000000000001,3.0
9,8,14,11,2,17,9,5,4.914,6.3307,7.0903,4.5008,6.5398,2.0
2,2,18,2,2,2,18,5,3.6515999999999993,6.2764,6.0994,6.2860000000000005,5.7288,6.0
9,10,18,4,18,10,5,5,4.5861,5.9787,7.085700000000001,4.7956,4.6146,4.0
0,0,0,10,12,15,4,5,6.7447,6.7231000000000005,3.2833,4.253500000000001,3.9362,3.0
0,8,11,12,7,2,9,5,5.726,5.9068,6.1893,5.8296,5.353400000000001,1.0
6,8,18,1,7,11,10,0,4.1759,6.985600000000001,4.3175,6.631900000000001,5.4389,1.0
12,8,10,2,7,10,9,5,5.5558000000000005,6.928400000000001,6.8459,4.2207,4.4902,2.0
0,9,10,15,7,15,0,0,6.3956,5.8064,4.2508,6.718000000000001,3.6453,4.0
9,0,14,2,1,7,9,1,6.1579999999999995,6.703799999999999,5.5271,2.5073,4.38,3.0
8,8,18,12,2,8,5,5,4.4689000000000005,5.8172999999999995,7.128500000000001,5.7075000000000005,6.028700000000001,4.0
17,5,9,15,7,17,0,5,5.4479,4.3574,4.7917000000000005,6.973,6.0715,3.0
0,10,0,10,1,2,3,0,6.057600000000001,6.843100000000001,4.0639,4.2101,4.2426,4.0
17,8,8,12,2,15,0,14,6.013699999999999,4.555499999999999,4.2207,5.459700000000001,6.569,2.0
10,8,7,8,7,7,5,5,4.882700000000001,5.4303,7.1062,5.3761,4.7435,5.0
15,9,16,15,7,9,0,0,6.546700000000001,4.7064,4.3786,6.826900000000001,3.2335000000000003,4.0
0,1,0,12,1,15,0,0,6.9449000000000005,5.4364,4.8232,5.1789000000000005,4.9253,5.0
0,9,9,4,2,2,0,0,5.110799999999999,5.7062,4.7692,7.0144,4.9857,5.0
0,9,0,15,14,15,14,5,6.616499999999999,5.8987,4.6546,6.3428,3.195,4.0
8,19,14,11,2,15,9,5,4.9198,6.503699999999999,6.1942,3.9852,6.324000000000001,1.0
9,8,9,10,12,2,9,1,5.4071,6.9007,3.8864000000000005,4.257,5.4346,3.0
0,8,18,4,7,15,10,0,5.5242,7.0411,4.2864,6.4737,3.9649,2.0
0,1,0,12,1,1,1,5,7.0083,5.1091,5.7436,3.9567000000000005,4.1948,5.0
9,8,0,2,1,3,3,5,6.5571,7.0224,5.8445,3.6691000000000003,3.8045,2.0
9,8,18,4,7,15,14,5,5.4862,7.4955,5.925200000000001,5.4350000000000005,4.501600000000001,1.0
10,9,0,12,7,11,0,5,5.8213,5.3354,6.506899999999999,6.8672,4.9708,2.0
0,8,16,15,12,15,0,5,6.6977,5.963699999999999,4.0306,6.096900000000001,4.1742,3.0
9,9,10,2,2,11,3,5,5.487400000000001,7.0006,5.898300000000001,5.7495,3.6136,3.0
9,8,14,12,19,12,5,5,5.8061,5.8721,7.2065,4.6013,4.8688,3.0
17,2,9,10,2,19,0,5,4.7609,5.7787999999999995,3.8301000000000003,5.5716,6.886800000000001,2.0
10,5,2,1,2,2,0,5,3.3419999999999996,6.132499999999999,5.7837,6.2253,6.0126,4.0
10,8,18,1,7,11,10,1,4.2475,7.082800000000001,4.652200000000001,6.3677,4.6644,3.0
8,8,18,2,2,7,1,5,4.6944,6.7044,7.381100000000001,4.4507,5.2827,3.0
9,8,2,2,2,11,9,5,4.667599999999999,7.42,6.0537,5.0035,5.2435,4.0
0,12,0,12,19,12,0,5,6.048900000000001,5.0392,5.5935999999999995,5.9193,4.856000000000001,5.0
9,17,18,9,2,2,14,5,4.0723,7.4830000000000005,5.3825,4.8039,5.4077,3.0
10,1,0,12,2,17,9,5,5.5172,5.240600000000001,7.1394,6.074,6.0764000000000005,1.0
0,9,16,4,7,12,9,0,6.0954,6.1197,5.4598,6.570799999999999,3.2699,3.0
9,15,0,2,2,0,9,5,6.1888000000000005,6.3999,6.338900000000001,4.6311,4.491700000000001,4.0
0,1,0,1,7,6,5,0,5.784000000000001,6.4824,4.482,5.662000000000001,4.279299999999999,4.0
0,5,0,12,2,17,5,5,5.41,4.7439,6.588000000000001,6.8153,5.8053,4.0
9,9,10,2,7,10,5,5,6.198300000000001,6.2414,6.777200000000001,4.946000000000001,3.3409999999999997,4.0
17,8,14,17,1,11,5,5,5.7496,6.0054,6.126,4.4672,5.5929,3.0
6,5,6,11,8,11,5,5,4.3878,4.6399,5.7391000000000005,5.986800000000001,5.7343,5.0
2,2,10,1,2,11,12,0,2.9164,6.7541,3.9435999999999996,6.9872000000000005,5.646000000000001,3.0
17,8,0,10,7,15,0,5,6.4341,6.195,4.7490000000000006,5.5128,5.772900000000001,2.0
9,8,14,12,2,10,5,5,5.4399999999999995,5.8687,7.1744,4.5704,5.7519,2.0
0,9,16,15,7,15,5,5,6.6723,5.7358,4.8088999999999995,6.986800000000001,3.3075999999999994,3.0
0,9,0,12,1,15,5,5,6.9243999999999994,5.416300000000001,5.8941,5.742500000000001,4.1767,3.0
10,1,0,1,1,10,1,0,5.4397,6.1367,5.8473999999999995,4.071400000000001,4.3748000000000005,6.0
0,0,0,12,7,14,14,5,7.195500000000001,5.7201,4.3218000000000005,4.5858,4.1789000000000005,4.0
15,9,0,2,7,15,9,5,6.8044,6.1398,6.1245,5.8998,3.5669999999999997,3.0
2,8,18,12,2,17,9,5,4.2476,5.4301,7.132600000000001,6.412999999999999,6.755,2.0
0,0,0,10,7,15,0,0,6.8026,6.273199999999999,3.3358,5.1785000000000005,4.618600000000001,5.0
10,8,18,1,1,11,10,1,4.407699999999999,6.9989,4.7788,5.4677,4.5672,4.0
9,8,18,1,2,15,9,5,4.7371,7.3691,6.0564,5.5777,5.642500000000001,2.0
17,0,0,10,7,15,0,18,6.7659,5.895699999999999,3.5972,4.825,5.3001000000000005,3.0
6,2,9,1,2,17,10,5,4.0192000000000005,5.5726,4.348,7.031000000000001,6.5737000000000005,2.0
10,9,0,15,7,11,0,5,5.6973,5.5717,5.8081,7.149700000000001,4.4814,2.0
0,8,9,15,2,15,0,0,5.791499999999999,5.7254,3.6779999999999995,6.862000000000001,5.291500000000001,4.0
10,9,16,2,7,10,5,5,5.9764,5.766800000000001,6.7828,5.8793999999999995,3.1273,3.0
9,2,18,4,2,15,9,5,4.4012,7.2337,6.1412,5.9017,5.3694,3.0
17,2,0,1,2,2,9,5,4.2808,6.5824,5.2298,6.1536,6.7864,3.0
9,9,0,2,2,15,9,0,5.8993,6.6794,5.7917000000000005,5.6732,4.2285,5.0
12,9,10,4,2,11,9,5,4.6594,6.8121,6.819400000000001,5.911,4.7444,2.0
0,8,0,4,7,3,5,5,6.2588,6.4222,5.9533,5.7235000000000005,4.386800000000001,3.0
15,1,0,2,1,15,9,5,7.1076,6.193300000000001,5.9758000000000004,4.4455,4.0204,3.0
15,1,0,12,7,17,0,18,6.6574,4.5265,6.049900000000001,5.7411,5.368800000000001,2.0
2,3,16,12,7,17,0,5,5.2937,4.2033,6.0482000000000005,6.8113,5.987500000000001,1.0
0,12,0,12,2,0,5,5,5.8571,5.0963,5.0189,6.1856,5.7204,5.0
8,8,2,0,2,2,9,0,3.2754999999999996,7.0392,5.6999,4.7139,6.1686,5.0
8,2,0,11,2,0,0,5,4.7723,5.513599999999999,5.736199999999999,4.9276,6.862100000000001,4.0
8,8,0,9,1,2,9,9,4.335399999999999,6.8919,5.5778,3.3621999999999996,5.8061,4.0
0,19,0,1,12,19,3,0,5.3727,7.062200000000001,2.7915999999999994,4.852600000000001,4.3582,4.0
6,5,17,17,13,17,5,5,4.4862,3.6037,7.1215,5.645600000000001,5.453200000000001,5.0
2,2,14,11,2,2,9,5,3.4628000000000005,6.1684,6.1864,5.3851,7.1304,4.0
17,2,0,1,2,11,9,5,4.3467,6.6027,5.1516,6.4454,6.6084000000000005,2.0
10,2,9,12,2,17,0,5,4.6619,4.7263,5.9981,6.9364,6.6565,2.0
10,9,16,4,8,12,9,5,5.4528,5.574800000000001,7.1122000000000005,6.665499999999999,3.0951999999999997,2.0
2,2,0,1,2,2,9,5,3.583,6.386,5.5683,6.540500000000001,6.7978,4.0
9,10,0,2,7,2,1,0,5.8863,6.9272,5.710400000000001,4.3654,4.1866,3.0
12,10,14,10,1,7,14,5,5.7218,6.7141,6.3121,2.3590999999999998,5.1031,3.0
10,8,14,12,7,17,9,5,5.3491,5.6953000000000005,7.2353,5.6495,5.9842,1.0
8,8,9,4,2,11,5,5,4.5813,6.3008,5.9541,6.2508,6.034,3.0
2,2,1,12,2,17,9,1,3.5548,4.8027,5.5134,6.5622,6.999599999999999,4.0
0,9,0,12,7,15,10,5,6.9027,5.5884,4.8903,6.6569,3.936,2.0
0,9,0,12,7,12,9,5,6.6530000000000005,5.3832,6.4173,6.340999999999999,4.3668000000000005,4.0
17,1,0,12,1,10,0,18,6.6406,4.7085,5.736800000000001,4.1694,5.5743,3.0
9,8,0,11,7,11,14,5,5.6589,7.0724,5.7931,4.9158,5.4143,2.0
7,0,0,2,1,7,5,5,6.8263,5.8818,6.0301,3.4825,4.3002,4.0
2,8,2,1,2,17,9,5,3.4855,6.183,5.9265,5.9685999999999995,6.6521,3.0
12,5,14,12,14,12,9,5,5.0386,5.365,7.105700000000001,4.8482,5.1143,5.0
10,8,11,17,7,12,9,5,5.6196,5.7053,7.188500000000001,5.4932,4.5142,1.0
0,9,16,12,7,9,10,7,6.905700000000001,4.443300000000001,3.6964,6.5956,3.2035,3.0
8,9,18,12,2,17,9,18,4.5995,5.2741999999999996,7.272500000000001,5.7806,5.909400000000001,3.0
0,9,0,12,1,12,9,8,7.0892,4.7484,6.2604999999999995,5.189699999999999,3.5149000000000004,4.0
5,2,10,10,2,2,0,5,4.438199999999999,6.2545,5.374,5.4308000000000005,6.1496,5.0
17,5,9,15,7,15,0,5,5.8157,4.9279,4.1136,6.8802,5.5727,3.0
12,2,14,1,2,2,9,18,3.4285,6.9925999999999995,5.7866,4.9792000000000005,6.5718,3.0
0,2,9,12,2,2,12,0,4.277799999999999,5.9694,3.5899,6.863,5.7248,5.0
11,8,14,11,7,2,9,5,4.5484,6.7533,6.3691,4.4377,6.4256,2.0
9,9,18,4,7,17,9,5,5.1396999999999995,6.3625,7.126500000000001,6.017499999999999,4.5915,3.0
9,8,3,10,1,7,0,5,6.3984,5.946899999999999,5.4977,3.3572999999999995,5.3512,1.0
0,9,0,1,2,15,10,0,5.666500000000001,6.2965,3.9690999999999996,6.843400000000001,4.151,3.0
